Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Mammoth Cave,"292,412","553,609","535,224","589,870","588,530","568,910","524,642","496,554","510,066","485,330","499,235","505,865","448,182","489,312",599940,1880011,1890271,1871140,1893309,1885581,1751268,1712982,2115990,1999655,1898825,1937704,2011929,2398227,2394850,2160186,1926528,1674829,1737598,1638327,1648659,1509924,1503434,1500486,1528658,1406298,1497767,1386889
Mesa Verde,"289,497","558,222","565,438","615,805","585,543","549,340","503,577","462,250","490,872","574,340","561,722","552,386","553,454","543,109",559254,500338,448815,440593,408387,515410,454287,637735,606554,629717,619356,665789,687025,668047,744072,680066,613365,602034,774171,730553,660874,658256,518849,606098,604950,590589,541237,475694
Mount Rainier,"1,162,774","1,503,640","1,520,509","1,417,884","1,358,929","1,239,246","1,266,273","1,150,565","1,051,190","1,040,240","1,193,764","1,153,663","1,165,235","1,049,692",1115607,1175902,1219754,1264354,1312392,1303104,1346833,1293396,1355791,1317770,1340957,1440222,1428238,1367206,1524049,1551403,1329091,1356291,1257606,1294014,1300443,1167625,1154395,1108289,1009282,1235652,1270236,1518682
New River Gorge,"1,056,394","1,197,740","1,234,645","1,170,675","1,199,947","1,180,768","1,126,813","1,073,836","1,130,207","1,073,099","1,153,223","1,146,327","1,214,862","1,180,019",1126694,1047819,1153786,1113167,1217877,1233530,1134531,1188500,1199647,1230239,1239633,1179233,1081988,1007591,942302,774163,380025,413184,401710,438778,396065,265006,233279,,,,,
North Cascades,"32,905","40,227","32,103","32,343","30,662","22,692","25,879","23,636","28,947","21,219","26,669","28,981","20,733","21,541",21173,20691,18916,22727,22693,29740,27704,23487,34751,29200,29906,67979,21317,23371,22287,24787,458434,393422,607955,653593,685042,631219,639820,860024,858998,831007,798059,744976
Olympic,2499177,3245806,3104455,3401996,3390221,3263761,3243872,3085340,2824908,2966502,2844563,3276459,3081451,2988686,2749197,3142774,3073722,3225327,3691310,3416069,3327722,3364266,3577007,3846709,3348723,3658615,3381573,2679598,3030195,2759673,2794903,2737611,2959122,2822850,2940034,2532145,2759011,2410722,2478739,2306032,2032418,2078843
Petrified Forest,384483,643588,644922,627757,643274,793225,836799,644648,664857,614054,664725,631613,543714,563590,581681,598378,580000,586245,571586,583904,605192,666978,816506,823266,829495,935065,922927,936429,930031,874521,844592,824141,857031,758082,761257,736659,714761,708512,710619,747832,683121,671583
Pinnacles,165740,177224,222152,233334,215555,206533,196635,237677,224476,393219,246575,171112,166988,161019,158824,170994,157397,162791,162266,178243,162110,164854,94639,171971,164465,177527,172642,194757,191683,192610,214268,218601,212094,204705,198236,191578,166258,170631,171026,155205,163626,153717
Redwood,265177,504722,482536,445000,536297,527143,429166,393364,352517,380167,418820,444426,396899,385171,383780,394144,392029,408126,404789,388352,383253,369726,383188,382488,426938,552464,475033,421027,387781,366280,348458,654115,677135,610897,567849,505791,467155,473711,467126,549461,471710,413917
Rocky Mountain,3305199,4670053,4590493,4437215,4517585,4155916,3434751,2991141,3229617,3176941,2955821,2822325,2757390,2895383,2743676,2798368,2781899,3067256,2988475,3139685,3185392,3186323,3035422,2965354,2923755,2878169,2968450,2780342,2788868,2751781,2647323,2502915,2544211,2531864,2408234,2248854,2231448,2599006,2564116,2911242,2641937,2568530
